0	0
3	1
2	2
1	3
4	4
9	5
8	6
7	7
6	8
5	9
12	10
11	11
10	12
19	13
18	14
17	15
16	16
15	17
14	18
13	19
24	20
23	21
22	22
21	23
20	24
33	25
32	26
31	27
30	28
29	29
28	30
27	31
26	32
25	33
40	34
39	35
38	36
37	37
36	38
35	39
34	40
51	41
50	42
49	43
48	44
47	45
46	46
45	47
44	48
43	49
42	50
41	51
60	52
59	53
58	54
57	55
56	56
55	57
54	58
53	59
52	60
73	61
72	62
71	63
70	64
69	65
68	66
67	67
66	68
65	69
64	70
63	71
62	72
61	73
84	74
83	75
82	76
81	77
80	78
79	79
78	80
77	81
76	82
75	83
74	84
99	85
98	86
97	87
96	88
95	89
94	90
93	91
92	92
91	93
90	94
89	95
88	96
87	97
86	98
85	99
112	100
111	101
110	102
109	103
108	104
107	105
106	106
105	107
104	108
103	109
102	110
101	111
100	112
